DATE: 2020-02-29 12:26:03 AM Exception: org.omg.CORBA.COMM_FAILURE:   vmcid: SUN  minor code: 201  completed: No
DATE: 2020-02-29 12:26:03 AM  Server Shutting down
DATE: 2020-02-29 12:43:23 AM Exception: org.omg.CORBA.COMM_FAILURE:   vmcid: SUN  minor code: 201  completed: No
DATE: 2020-02-29 12:43:23 AM  Server Shutting down
DATE: 2020-02-29 01:03:00 AM  Server is Up & Running
DATE: 2020-02-29 01:03:00 AM  UDP Server Started at port 8888
DATE: 2020-02-29 01:03:37 AM  Server is Up & Running
DATE: 2020-02-29 01:03:37 AM  UDP Server Started at port 8888
DATE: 2020-02-29 01:04:06 AM ClientID: Event Manager | RequestType:  CORBA addEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences bookingCapacity 2  | ServerResponse: Success: Event MTLE101020 added successfully
DATE: 2020-02-29 01:04:06 AM ClientID: MTLC4567 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Success: Event MTLE101020 Booked Successfully
DATE: 2020-02-29 01:04:06 AM ClientID: MTLC3456 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Success: Event MTLE101020 Booked Successfully
DATE: 2020-02-29 01:04:06 AM ClientID: MTLC2345 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-02-29 01:53:57 AM Exception: org.omg.CORBA.BAD_INV_ORDER:   vmcid: OMG  minor code: 4  completed: No
DATE: 2020-02-29 01:53:57 AM  Server Shutting down
DATE: 2020-03-01 04:49:03 PM  Server is Up & Running
DATE: 2020-03-01 04:49:03 PM  UDP Server Started at port 8888
DATE: 2020-03-01 04:49:15 PM ClientID: Event Manager | RequestType:  CORBA addEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences bookingCapacity 2  | ServerResponse: Success: Event MTLE101020 added successfully
DATE: 2020-03-01 04:49:15 PM ClientID: MTLC4567 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Success: Event MTLE101020 Booked Successfully
DATE: 2020-03-01 04:49:15 PM ClientID: MTLC2345 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Success: Event MTLE101020 Booked Successfully
DATE: 2020-03-01 04:49:15 PM ClientID: MTLC3456 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:49:15 PM ClientID: MTLC6789 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:49:15 PM ClientID: MTLC7890 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:49:25 PM ClientID: Event Manager | RequestType:  CORBA addEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences bookingCapacity 2  | ServerResponse: Success: Event MTLE101020 Capacity increased to 2
DATE: 2020-03-01 04:49:25 PM ClientID: MTLC4567 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:49:25 PM ClientID: MTLC2345 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:49:25 PM ClientID: MTLC3456 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:49:25 PM ClientID: MTLC6789 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:49:25 PM ClientID: MTLC7890 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:49:38 PM ClientID: Event Manager | RequestType:  CORBA addEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences bookingCapacity 2  | ServerResponse: Success: Event MTLE101020 Capacity increased to 2
DATE: 2020-03-01 04:49:38 PM ClientID: MTLC7890 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:49:38 PM ClientID: MTLC6789 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:49:38 PM ClientID: MTLC4567 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:49:38 PM ClientID: MTLC2345 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:49:38 PM ClientID: MTLC3456 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:52:05 PM ClientID: Event Manager | RequestType:  CORBA addEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences bookingCapacity 2  | ServerResponse: Success: Event MTLE101020 Capacity increased to 2
DATE: 2020-03-01 04:52:05 PM ClientID: MTLC2345 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:52:05 PM ClientID: MTLC3456 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:52:05 PM ClientID: MTLC6789 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:52:05 PM ClientID: MTLC4567 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:52:05 PM ClientID: MTLC7890 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Failed: Event MTLE101020 is Full
DATE: 2020-03-01 04:52:05 PM ClientID: MTLC2345 | RequestType:  CORBA cancelEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Success: Event MTLE101020 Canceled for MTLC2345
DATE: 2020-03-01 04:52:05 PM ClientID: MTLC4567 | RequestType:  CORBA cancelEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Success: Event MTLE101020 Canceled for MTLC4567
DATE: 2020-03-01 04:52:25 PM ClientID: Event Manager | RequestType:  CORBA addEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences bookingCapacity 2  | ServerResponse: Success: Event MTLE101020 Capacity increased to 2
DATE: 2020-03-01 04:52:25 PM ClientID: MTLC2345 | RequestType:  CORBA bookEvent  | RequestParameters:  eventID: MTLE101020 eventType: Conferences  | ServerResponse: Success: Event MTLE101020 Booked Successfully
